ride_id,point_idx,latitude,longitude,timestamp,meter_reading,meter_increment,ride_status,passenger_count
7fa5e7a6-de27-47b1-b4d6-cf33af511f40,154,40.74262,-73.992150000000009,2026-06-08 10:38:03.440750 UTC,6.9487805,0.045121953,enroute,1
44e5f2b2-635a-43d0-8b2d-0ec5bad007f1,52,40.76755,-73.95618,2026-06-08 10:38:04.964990 UTC,3.9168832,0.07532468,enroute,1
20e6e80b-2902-42fe-a6b1-825c2fb0dc21,113,40.719590000000004,-74.0122,2026-06-08 10:38:05.664100 UTC,3.6925871,0.032677762,enroute,1
a144f54c-cfb8-4f31-a398-f56d0fce298c,344,40.742670000000004,-73.96035,2026-06-08 10:38:06.468230 UTC,8.684692,0.0252462,enroute,1
d80def92-964f-47db-8f1f-bf90d3c498c1,13,40.73174,-73.997650000000007,2026-06-08 10:38:04.775920 UTC,0.56333333,0.043333333,enroute,1
4cfec17f-6423-42e7-88ec-865a5c0f5f8e,173,40.756400000000006,-73.96433,2026-06-08 10:38:03.345940 UTC,5.467099,0.03160173,enroute,1
3800144c-8491-48ea-b825-3416a7913f36,165,40.79289,-73.98004,2026-06-08 10:38:05.934470 UTC,3.6697323,0.022240803,enroute,5
a3efa50e-82d8-4806-ba37-f4a882506d92,341,40.754380000000005,-73.976530000000011,2026-06-08 10:38:06.123400 UTC,9.714536,0.028488373,enroute,2
6272b72c-13e7-4e9d-906b-4332d9c297c1,188,40.763780000000004,-73.989650000000012,2026-06-08 10:38:03.780280 UTC,6.9380956,0.036904763,enroute,1
14287e11-08c7-4ac9-9a1d-84d8e5d5ee0d,87,40.701800000000006,-74.01117,2026-06-08 10:38:04.927120 UTC,1.9271445,0.022151086,enroute,1
af8218c8-ef4b-4dd6-97d7-412619dbf4b8,205,40.727590000000006,-73.971880000000013,2026-06-08 10:38:05.207960 UTC,5.118008,0.024965893,enroute,2
6e4dedc5-61c5-4347-8ff1-bd6030e430f0,1095,40.76995,-73.94784,2026-06-08 10:38:04.342270 UTC,26.857533,0.024527427,enroute,1
1a14691c-0e77-49d0-bc3e-5b4a6b2dd30e,967,40.81414,-73.95571000000001,2026-06-08 10:38:04.739260 UTC,34.9242,0.036116026,enroute,1
59383ae3-0b94-4fd8-a05e-e3856f49b19d,127,40.74781,-73.98923,2026-06-08 10:38:03.383840 UTC,6.09187,0.04796748,enroute,1
a8c7292d-e179-46dc-a05a-641b4488a97f,112,40.743970000000004,-73.992020000000011,2026-06-08 10:38:06.057420 UTC,4.521925,0.04037433,enroute,1
eca51dab-f111-4e5d-a271-8fd41cc734fd,1281,40.76738,-73.96487,2026-06-08 10:38:03.931090 UTC,17.553349,0.013702848,enroute,1
4bb2a7ff-5a25-42fd-b739-78c1772f38e2,1927,40.72017,-73.82632000000001,2026-06-08 10:38:06.216000 UTC,39.30404,0.020396492,enroute,1
01042f03-f339-48c7-baf0-c5db41744c21,2826,40.59049,-73.99329,2026-06-08 10:38:03.459820 UTC,39.980824,0.014147496,enroute,6
5eaae643-8c87-446b-8e81-27bf62d6c018,30,40.777890000000006,-73.95179,2026-06-08 10:38:03.597670 UTC,1.539823,0.051327437,enroute,6
